CANDIDATO_ID;CANDIDATO;CURSO_ID;CURSO;PROCESSO_ID;PROCESSO;PERIODO_LETIVO;FORMA_PAGAMENTO_ID;FORMA_PAGAMENTO;BOLSA_ESTUDO;CALL_CENTER;VALOR;DATA_PREINSCRICAO;HORA_PREINSCRICAO;DATA_INSCRICAO;HORA_INSCRICAO;DATA_PAGINSCRICAO;HORA_PAGINSCRICAO
9;Candidato 9;4;Curso 4;11;Processo 11;2019/1;;;0;1;;20181103;940;20181103;944;;
15;Candidato 15;17;Curso 17;15;Processo 15;2019/1;3;Isento;0;0;0.00;20181121;1505;20181121;1534;20181121;0
16;Candidato 16;4;Curso 4;11;Processo 11;2019/1;;;;;;20181014;1918;;;;
16;Candidato 16;6;Curso 6;15;Processo 15;2019/1;;;0;0;;20190123;1514;20190206;2320;;
16;Candidato 16;4;Curso 4;26;Processo 26;2020/1;;;;;;20190917;1238;;;;
16;Candidato 16;20;Curso 20;27;Processo 27;2020/1;;;;;;20200124;1137;;;;
20;Candidato 20;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190204;2112;20190204;2113;;
23;Candidato 23;17;Curso 17;10;Processo 10;2019/1;1;Boleto;1;1;50.00;20181016;1618;20181016;1633;20181017;0
23;Candidato 23;17;Curso 17;15;Processo 15;2019/1;3;Isento;0;0;0.00;20181120;1134;20181123;1555;20181128;0
25;Candidato 25;18;Curso 18;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190111;2029;20190111;2042;20190111;0
29;Candidato 29;13;Curso 13;10;Processo 10;2019/1;;;1;1;;20181023;1012;20181023;1028;;
29;Candidato 29;1;Curso 1;15;Processo 15;2019/1;;;0;1;;20181126;850;20181126;853;;
33;Candidato 33;16;Curso 16;15;Processo 15;2019/1;;;;;;20190220;948;;;;
41;Candidato 41;20;Curso 20;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190130;1159;20190130;1200;20190130;0
42;Candidato 42;20;Curso 20;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190117;1026;20190117;1029;20190117;0
43;Candidato 43;12;Curso 12;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190206;1630;20190206;1634;20190206;0
44;Candidato 44;9;Curso 9;10;Processo 10;2019/1;;;1;0;;20181016;1423;20181016;1427;;
45;Candidato 45;13;Curso 13;10;Processo 10;2019/1;1;Boleto;1;0;25.00;20180911;1747;20180930;1050;20181001;0
47;Candidato 47;4;Curso 4;29;Processo 29;2020/1;2;Cartão de Crédito;0;0;200.00;20191007;1039;20191007;1046;20191021;1615
50;Candidato 50;14;Curso 14;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190120;1803;20190130;1557;20190130;0
50;Candidato 50;9;Curso 9;25;Processo 25;2020/1;;;;;;20190903;1155;;;;
51;Candidato 51;9;Curso 9;15;Processo 15;2019/1;;;;;;20181210;1137;;;;
53;Candidato 53;9;Curso 9;10;Processo 10;2019/1;;;1;0;;20181004;1130;20181012;2043;;
